gameId,total,maximo,minimo,margen,prorrogas,fecha,partido,estrella_gs,mvp,nota_igualdad,nota_ritmo,nota_ot,nota_estrella,KPI
0022500147,232,122,110,12,0,2025-11-01,DET vs DAL,32.70000000000001,Jalen Duren,0.4,0.5333333333333333,0.0,0.5900000000000003,38.4
0022500148,243,137,106,31,0,2025-11-02,OKC vs NOP,26.500000000000007,Shai Gilgeous-Alexander,0.0,0.7166666666666667,0.0,0.3833333333333336,15.1
0022500149,234,129,105,24,0,2025-11-02,BKN vs PHI,23.500000000000004,Quentin Grimes,0.0,0.5666666666666667,0.0,0.28333333333333344,11.3
0022500150,229,126,103,23,0,2025-11-02,CHA vs UTA,23.8,Miles Bridges,0.0,0.48333333333333334,0.0,0.29333333333333333,11.2
0022500151,226,117,109,8,0,2025-11-02,CLE vs ATL,28.900000000000006,Donovan Mitchell,0.6,0.43333333333333335,0.0,0.46333333333333354,43.1
0022500152,221,117,104,13,0,2025-11-02,TOR vs MEM,21.400000000000002,Scottie Barnes,0.35,0.35,0.0,0.2133333333333334,23.9
0022500153,244,128,116,12,0,2025-11-02,NYK vs CHI,23.5,Karl-Anthony Towns,0.4,0.7333333333333333,0.0,0.2833333333333333,30.2
0022500154,248,130,118,12,0,2025-11-02,PHX vs SAS,26.000000000000004,Devin Booker,0.4,0.8,0.0,0.3666666666666668,33.0
0022500155,250,130,120,10,0,2025-11-02,LAL vs MIA,26.6,Jake LaRavia,0.5,0.8333333333333334,0.0,0.3866666666666667,38.3
0022500156,234,125,109,16,0,2025-11-03,BKN vs MIN,22.799999999999997,Nic Claxton,0.19999999999999996,0.5666666666666667,0.0,0.2599999999999999,19.6
0022500157,232,117,115,2,0,2025-11-03,IND vs MIL,28.699999999999996,Giannis Antetokounmpo,0.9,0.5333333333333333,0.0,0.4566666666666665,56.9
0022500158,208,105,103,2,0,2025-11-03,BOS vs UTA,26.5,Keyonte George,0.9,0.13333333333333333,0.0,0.38333333333333336,52.7
0022500159,221,119,102,17,0,2025-11-03,NYK vs WAS,27.4,Karl-Anthony Towns,0.15000000000000002,0.35,0.0,0.4133333333333333,20.9
0022500160,212,110,102,8,0,2025-11-03,HOU vs DAL,23.0,P.J. Washington,0.6,0.2,0.0,0.26666666666666666,36.0
0022500161,220,114,106,8,0,2025-11-03,MEM vs DET,27.400000000000002,Isaiah Stewart,0.6,0.3333333333333333,0.0,0.4133333333333334,41.1
0022500162,254,130,124,6,0,2025-11-03,DEN vs SAC,39.699999999999996,Nikola Jokić,0.7,0.9,0.0,0.8233333333333331,60.7
0022500163,238,123,115,8,0,2025-11-03,POR vs LAL,24.000000000000007,Deandre Ayton,0.6,0.6333333333333333,0.0,0.3000000000000002,39.2
0022500164,239,120,119,1,0,2025-11-03,LAC vs MIA,24.1,Kawhi Leonard,0.95,0.65,0.0,0.3033333333333334,55.1
0022500165,228,128,100,28,0,2025-11-04,TOR vs MIL,24.5,Scottie Barnes,0.0,0.4666666666666667,0.0,0.31666666666666665,11.8
0022500166,239,127,112,15,0,2025-11-04,ATL vs ORL,19.499999999999996,Dyson Daniels,0.25,0.65,0.0,0.14999999999999988,19.0
0022500167,224,113,111,2,0,2025-11-04,CHI vs PHI,29.70000000000001,Tyrese Maxey,0.9,0.4,0.0,0.4900000000000003,57.2
0022500168,228,116,112,4,0,2025-11-04,NOP vs CHA,19.2,Jose Alvarado,0.8,0.4666666666666667,0.0,0.13999999999999999,42.5
0022500169,225,118,107,11,0,2025-11-04,GSW vs PHX,26.10000000000001,Devin Booker,0.44999999999999996,0.4166666666666667,0.0,0.3700000000000003,33.4
0022500170,233,126,107,19,0,2025-11-04,LAC vs OKC,32.300000000000004,Shai Gilgeous-Alexander,0.050000000000000044,0.55,0.0,0.5766666666666668,22.3
0022500171,253,132,121,11,0,2025-11-05,CLE vs PHI,43.1,Donovan Mitchell,0.44999999999999996,0.8833333333333333,0.0,0.9366666666666668,52.8
0022500172,217,114,103,11,0,2025-11-05,DET vs UTA,25.099999999999994,Jalen Duren,0.44999999999999996,0.2833333333333333,0.0,0.3366666666666665,31.8
0022500173,215,112,103,9,0,2025-11-05,IND vs BKN,24.9,Nic Claxton,0.55,0.25,0.0,0.32999999999999996,35.9
0022500174,243,136,107,29,0,2025-11-05,BOS vs WAS,29.3,Jaylen Brown,0.0,0.7166666666666667,0.0,0.4766666666666667,17.9
0022500175,251,137,114,23,0,2025-11-05,NYK vs MIN,23.5,OG Anunoby,0.0,0.85,0.0,0.2833333333333333,12.8
0022500176,233,124,109,15,0,2025-11-05,MEM vs HOU,23.300000000000004,Amen Thompson,0.25,0.55,0.0,0.2766666666666668,22.3
0022500177,200,101,99,2,0,2025-11-05,DAL vs NOP,18.6,Saddiq Bey,0.9,0.0,0.0,0.12000000000000005,44.1
0022500178,234,122,112,10,0,2025-11-05,DEN vs MIA,42.1,Nikola Jokić,0.5,0.5666666666666667,0.0,0.9033333333333334,52.4
0022500179,234,118,116,2,0,2025-11-05,LAL vs SAS,31.5,Luka Dončić,0.9,0.5666666666666667,0.0,0.55,59.8
0022500180,240,121,119,2,0,2025-11-05,POR vs OKC,24.700000000000003,Deni Avdija,0.9,0.6666666666666666,0.0,0.3233333333333334,53.5
0022500181,237,121,116,5,0,2025-11-05,SAC vs GSW,28.5,Russell Westbrook,0.75,0.6166666666666667,0.0,0.45,50.3
0022500182,217,115,102,13,0,2025-11-06,PHX vs LAC,21.9,Ivica Zubac,0.35,0.2833333333333333,0.0,0.22999999999999995,24.1
0022500028,233,123,110,13,0,2025-11-07,ORL vs BOS,22.099999999999998,Franz Wagner,0.35,0.55,0.0,0.2366666666666666,25.6
0022500029,263,148,115,33,0,2025-11-07,WAS vs CLE,21.7,Donovan Mitchell,0.0,1.0,0.0,0.2233333333333333,11.7
0022500030,206,109,97,12,0,2025-11-07,ATL vs TOR,17.799999999999997,Immanuel Quickley,0.4,0.1,0.0,0.09333333333333324,21.3
0022500031,232,125,107,18,0,2025-11-07,BKN vs DET,29.700000000000003,Cade Cunningham,0.09999999999999998,0.5333333333333333,0.0,0.4900000000000001,21.9
0022500032,231,121,110,11,0,2025-11-07,SAS vs HOU,20.499999999999996,Julian Champagnie,0.44999999999999996,0.5166666666666667,0.0,0.1833333333333332,28.3
0022500033,234,126,108,18,0,2025-11-07,MIA vs CHA,20.500000000000004,Kon Knueppel,0.09999999999999998,0.5666666666666667,0.0,0.18333333333333346,12.8
0022500034,222,118,104,14,0,2025-11-07,MEM vs DAL,22.3,Cedric Coward,0.30000000000000004,0.36666666666666664,0.0,0.24333333333333335,22.6
0022500035,236,126,110,16,0,2025-11-07,MIL vs CHI,35.2,Giannis Antetokounmpo,0.19999999999999996,0.6,0.0,0.6733333333333335,32.2
0022500036,234,137,97,40,0,2025-11-07,MIN vs UTA,26.599999999999994,Anthony Edwards,0.0,0.5666666666666667,0.0,0.3866666666666665,14.4
0022500037,233,129,104,25,0,2025-11-07,DEN vs GSW,29.0,Nikola Jokić,0.0,0.55,0.0,0.4666666666666667,16.8
0022500038,233,132,101,31,0,2025-11-07,SAC vs OKC,35.60000000000001,Isaiah Hartenstein,0.0,0.55,0.0,0.686666666666667,23.4
0022500183,216,111,105,6,0,2025-11-08,WAS vs DAL,30.2,Naji Marshall,0.7,0.26666666666666666,0.0,0.5066666666666666,48.0
0022500184,250,130,120,10,0,2025-11-08,PHI vs TOR,28.4,Trendon Watford,0.5,0.8333333333333334,0.0,0.4466666666666666,40.1
0022500185,224,122,102,20,0,2025-11-08,ATL vs LAL,22.7,Mouhamed Gueye,0.0,0.4,0.0,0.25666666666666665,9.7
0022500186,250,128,122,6,0,2025-11-08,CLE vs CHI,22.200000000000003,Evan Mobley,0.7,0.8333333333333334,0.0,0.2400000000000001,42.9
0022500187,267,136,131,5,0,2025-11-08,MIA vs POR,27.700000000000003,Deni Avdija,0.75,1.0,0.0,0.42333333333333345,51.5
0022500188,245,126,119,7,0,2025-11-08,SAS vs NOP,37.2,Trey Murphy III,0.65,0.75,0.0,0.7400000000000001,55.2
0022500189,217,117,100,17,0,2025-11-08,DEN vs IND,33.2,Nikola Jokić,0.15000000000000002,0.2833333333333333,0.0,0.6066666666666668,26.4
0022500190,217,114,103,11,0,2025-11-08,LAC vs PHX,20.1,Ivica Zubac,0.44999999999999996,0.2833333333333333,0.0,0.17000000000000004,26.8
0022500191,237,122,115,7,0,2025-11-09,MIL vs HOU,26.900000000000002,Giannis Antetokounmpo,0.65,0.6166666666666667,0.0,0.3966666666666667,44.2
0022500192,232,134,98,36,0,2025-11-09,NYK vs BKN,24.3,Karl-Anthony Towns,0.0,0.5333333333333333,0.0,0.31,12.0
0022500193,218,111,107,4,0,2025-11-09,ORL vs BOS,21.599999999999998,Jalen Suggs,0.8,0.3,0.0,0.21999999999999992,44.1
0022500194,214,114,100,14,0,2025-11-09,MEM vs OKC,31.299999999999997,Shai Gilgeous-Alexander,0.30000000000000004,0.23333333333333334,0.0,0.5433333333333332,31.0
0022500195,219,111,108,3,0,2025-11-09,PHI vs DET,22.7,Tyrese Maxey,0.85,0.31666666666666665,0.0,0.25666666666666665,47.5
0022500196,197,114,83,31,0,2025-11-09,GSW vs IND,23.4,Jimmy Butler III,0.0,0.0,0.0,0.27999999999999997,8.4
0022500197,261,144,117,27,0,2025-11-09,SAC vs MIN,23.0,Rudy Gobert,0.0,1.0,0.0,0.26666666666666666,13.0
0022500198,232,121,111,10,0,2025-11-10,CHA vs LAL,29.500000000000007,Miles Bridges,0.5,0.5333333333333333,0.0,0.48333333333333356,39.7
0022500199,272,137,135,2,1,2025-11-10,DET vs WAS,35.400000000000006,Cade Cunningham,0.9,1.0,0.7,0.6800000000000002,79.9
0022500200,227,115,112,3,0,2025-11-10,ORL vs POR,21.799999999999994,Shaedon Sharpe,0.85,0.45,0.0,0.22666666666666646,47.3
0022500201,278,140,138,2,1,2025-11-10,MIA vs CLE,25.2,Jaime Jaquez Jr.,0.9,1.0,0.7,0.33999999999999997,69.7
0022500202,238,121,117,4,0,2025-11-10,CHI vs SAS,36.5,Victor Wembanyama,0.8,0.6333333333333333,0.0,0.7166666666666667,60.7
0022500203,230,116,114,2,0,2025-11-10,DAL vs MIL,25.1,Cooper Flagg,0.9,0.5,0.0,0.3366666666666667,53.1
0022500204,219,121,98,23,0,2025-11-10,PHX vs NOP,39.9,Grayson Allen,0.0,0.31666666666666665,0.0,0.83,26.5
0022500205,233,120,113,7,0,2025-11-10,UTA vs MIN,27.200000000000003,Anthony Edwards,0.65,0.55,0.0,0.4066666666666668,44.2
0022500206,207,105,102,3,0,2025-11-10,LAC vs ATL,30.6,James Harden,0.85,0.11666666666666667,0.0,0.52,54.4
0022500207,228,119,109,10,0,2025-11-11,BKN vs TOR,22.6,Immanuel Quickley,0.5,0.4666666666666667,0.0,0.25333333333333335,32.4
0022500208,253,133,120,13,0,2025-11-11,NYK vs MEM,25.200000000000003,Jalen Brunson,0.35,0.8833333333333333,0.0,0.3400000000000001,30.4
0022500209,202,102,100,2,0,2025-11-11,PHI vs BOS,21.499999999999996,Justin Edwards,0.9,0.03333333333333333,0.0,0.21666666666666654,47.2
0022500210,228,126,102,24,0,2025-11-11,OKC vs GSW,28.400000000000002,Shai Gilgeous-Alexander,0.0,0.4666666666666667,0.0,0.4466666666666667,15.7
0022500211,280,152,128,24,0,2025-11-11,UTA vs IND,29.100000000000005,Lauri Markkanen,0.0,1.0,0.0,0.47000000000000014,19.1
0022500212,230,122,108,14,0,2025-11-11,SAC vs DEN,36.9,Nikola Jokić,0.30000000000000004,0.5,0.0,0.73,37.9
0022500213,211,111,100,11,0,2025-11-12,CHA vs MIL,22.4,Ryan Rollins,0.44999999999999996,0.18333333333333332,0.0,0.24666666666666662,28.6
0022500214,237,124,113,11,0,2025-11-12,DET vs CHI,33.3,Paul Reed,0.44999999999999996,0.6166666666666667,0.0,0.6099999999999999,41.6
0022500215,231,124,107,17,0,2025-11-12,NYK vs ORL,23.599999999999998,Franz Wagner,0.15000000000000002,0.5166666666666667,0.0,0.28666666666666657,17.9
0022500216,226,131,95,36,0,2025-11-12,BOS vs MEM,24.000000000000004,Payton Pritchard,0.0,0.43333333333333335,0.0,0.3000000000000001,11.2
0022500217,246,130,116,14,0,2025-11-12,MIA vs CLE,24.599999999999994,Jarrett Allen,0.30000000000000004,0.7666666666666667,0.0,0.3199999999999998,26.9
0022500218,247,135,112,23,0,2025-11-12,HOU vs WAS,22.900000000000002,Alex Sarr,0.0,0.7833333333333333,0.0,0.2633333333333334,11.8
0022500219,242,125,117,8,0,2025-11-12,NOP vs POR,31.400000000000006,Shaedon Sharpe,0.6,0.7,0.0,0.5466666666666669,46.9
0022500220,245,125,120,5,0,2025-11-12,SAS vs GSW,38.50000000000001,Stephen Curry,0.75,0.75,0.0,0.7833333333333335,61.0
0022500221,237,123,114,9,0,2025-11-12,DAL vs PHX,19.2,Grayson Allen,0.55,0.6166666666666667,0.0,0.13999999999999999,32.0
0022500222,213,121,92,29,0,2025-11-12,OKC vs LAL,29.400000000000002,Shai Gilgeous-Alexander,0.0,0.21666666666666667,0.0,0.4800000000000001,15.5
0022500223,233,133,100,33,0,2025-11-12,SAC vs ATL,28.400000000000002,Jalen Johnson,0.0,0.55,0.0,0.4466666666666667,16.2
